timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538059971219,13,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,13,0,1
1538059971233,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,3,0,0
1538059971236,5,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,5,0,1
1538059971241,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,3,0,1
1538059971244,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,2,0,0
1538059971246,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,2,0,0
1538059971249,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,2,0,0
1538059971251,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,2,0,0
1538059971253,11,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,11,0,1
1538059971265,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,2,0,0
1538059971267,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,3,0,0
1538059971270,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,1,1,http://10.0.10.10:9966/petclinic/api/owners,2,0,1
